sqfeet,beds,baths,cats_allowed,dogs_allowed,smoking_allowed,wheelchair_access,electric_vehicle_charge,comes_furnished,lat,long,type_apartment,type_condo,type_cottage/cabin,type_duplex,type_flat,type_house,type_in-law,type_loft,type_manufactured,type_townhouse
1344,3,2.0,0,0,1,0,0,0,42.5333,-83.5763,0,0,0,0,0,0,0,0,1,0
1050,2,1.0,0,0,1,0,0,0,43.9393,-72.5538,1,0,0,0,0,0,0,0,0,0
1150,2,2.0,1,1,1,1,0,0,42.2492,-83.7712,1,0,0,0,0,0,0,0,0,0
1280,2,2.5,1,1,0,0,0,0,40.5501,-105.035,1,0,0,0,0,0,0,0,0,0
783,2,1.0,1,1,1,0,0,0,38.0936,-78.5611,1,0,0,0,0,0,0,0,0,0
1090,3,2.0,1,1,1,0,0,0,40.2891,-111.704,1,0,0,0,0,0,0,0,0,0
1034,2,2.0,1,1,1,0,0,0,33.8185,-78.6963,1,0,0,0,0,0,0,0,0,0
748,1,1.0,1,1,0,1,0,0,40.2507,-74.0486,1,0,0,0,0,0,0,0,0,0
1,2,1.5,0,0,1,0,0,0,40.8784,-82.6549,0,0,0,0,0,1,0,0,0,0
1192,2,2.0,1,1,0,1,0,0,40.2507,-74.0486,1,0,0,0,0,0,0,0,0,0
915,2,1.5,1,1,0,0,0,0,35.2162,-80.7934,1,0,0,0,0,0,0,0,0,0
750,2,1.0,1,1,1,0,0,0,40.1207,-88.0472,1,0,0,0,0,0,0,0,0,0
640,1,1.0,1,1,1,0,0,0,39.8941,-88.9311,1,0,0,0,0,0,0,0,0,0
935,1,1.0,1,1,1,0,0,0,46.8034,-100.877,1,0,0,0,0,0,0,0,0,0
2000,4,3.0,0,0,0,0,0,0,34.8286,-120.427,0,0,0,0,0,1,0,0,0,0
801,2,2.0,1,1,1,0,0,0,37.9889,-84.4977,1,0,0,0,0,0,0,0,0,0
1100,2,2.0,1,1,1,0,0,0,37.6646,-97.2337,1,0,0,0,0,0,0,0,0,0
918,2,2.0,1,1,0,1,0,0,42.1974,-85.6194,1,0,0,0,0,0,0,0,0,0
1400,3,2.5,1,1,0,0,0,0,37.0683,-94.4916,0,0,0,0,0,0,0,0,0,1
680,0,1.0,1,1,0,0,0,0,41.306,-72.9276,1,0,0,0,0,0,0,0,0,0
2300,4,2.5,1,1,1,0,0,0,30.6765,-96.295,0,0,0,0,0,1,0,0,0,0
1309,3,2.0,1,1,1,0,0,0,38.3796,-77.5349,1,0,0,0,0,0,0,0,0,0
463,1,1.0,1,1,1,0,0,0,32.265,-110.925,1,0,0,0,0,0,0,0,0,0
598,1,1.0,1,1,1,0,0,0,40.5525,-105.068,1,0,0,0,0,0,0,0,0,0
2488,4,1.5,1,1,1,0,0,0,45.2624,-122.686,1,0,0,0,0,0,0,0,0,0
760,1,1.0,1,1,1,0,0,0,36.1234,-115.143,1,0,0,0,0,0,0,0,0,0
1248,3,2.5,1,1,1,0,0,0,39.0211,-84.2112,0,0,0,0,0,1,0,0,0,0
1050,2,2.0,0,0,1,0,0,0,37.9863,-87.6257,1,0,0,0,0,0,0,0,0,0
800,2,1.0,0,0,1,0,0,0,42.2812,-83.1826,1,0,0,0,0,0,0,0,0,0
1133,1,1.5,1,1,1,0,0,0,33.4226,-86.7065,1,0,0,0,0,0,0,0,0,0
1393,2,2.5,1,1,0,0,0,0,27.3215,-80.403,0,0,0,0,0,0,0,0,0,1
1413,3,2.0,1,1,1,0,0,0,32.1149,-81.252,1,0,0,0,0,0,0,0,0,0
650,1,1.0,1,1,1,0,0,0,36.0878,-79.8805,1,0,0,0,0,0,0,0,0,0
750,1,1.0,0,0,0,0,0,1,31.9945,-102.103,1,0,0,0,0,0,0,0,0,0
1065,2,2.0,1,1,1,0,0,0,29.7086,-98.1126,1,0,0,0,0,0,0,0,0,0
770,1,1.0,0,0,1,0,0,0,32.425,-84.9505,1,0,0,0,0,0,0,0,0,0
950,2,2.0,1,1,0,0,0,0,41.1523,-96.0371,1,0,0,0,0,0,0,0,0,0
1080,2,2.0,0,0,0,0,0,0,44.7271,-85.6307,0,1,0,0,0,0,0,0,0,0
1400,3,2.0,0,1,0,0,0,0,29.5572,-98.6249,0,0,0,0,0,1,0,0,0,0
910,1,1.0,1,1,0,1,0,0,30.4771,-84.2246,1,0,0,0,0,0,0,0,0,0
1227,2,2.0,1,1,0,0,0,0,43.3322,-88.2824,1,0,0,0,0,0,0,0,0,0
900,2,2.0,1,1,1,0,0,0,32.0401,-81.0206,1,0,0,0,0,0,0,0,0,0
1192,3,1.0,1,1,0,1,0,0,32.0081,-81.2839,1,0,0,0,0,0,0,0,0,0
645,1,1.0,1,1,0,1,0,0,39.9485,-75.1293,1,0,0,0,0,0,0,0,0,0
990,2,2.0,0,0,0,0,0,1,27.3375,-82.5201,0,1,0,0,0,0,0,0,0,0
1047,1,1.0,1,1,1,0,0,0,30.4382,-87.2611,1,0,0,0,0,0,0,0,0,0
850,1,1.0,1,1,1,0,0,0,26.6555,-80.1596,1,0,0,0,0,0,0,0,0,0
1160,2,2.0,1,1,0,0,0,0,35.5658,-77.3631,1,0,0,0,0,0,0,0,0,0
2068,3,3.0,1,1,0,0,0,0,41.5577,-93.6552,0,0,0,0,0,1,0,0,0,0
857,1,1.0,0,0,1,0,0,0,40.2871,-74.681,1,0,0,0,0,0,0,0,0,0
1157,2,2.0,0,0,1,0,0,0,35.3183,-80.7476,1,0,0,0,0,0,0,0,0,0
956,2,1.0,1,1,1,0,0,0,30.0148,-90.1564,1,0,0,0,0,0,0,0,0,0
480,0,1.0,1,1,1,0,0,0,30.619,-96.3185,1,0,0,0,0,0,0,0,0,0
